family,instance_name,parity,param_n,param_p,param_seed,param_trial,param_rows,param_cols,param_n_left,param_n_right,param_remove_fraction,n,m,density,lp_value,lp_runtime_sec,lp_num_fractional,lp_num_at_half,lp_is_integral,rounded_size,rounded_feasible,rounded_vs_lp_ratio,rounding_runtime_sec,greedy_size,greedy_feasible,greedy_runtime_sec,greedy_vs_lp_ratio,ilp_value,ilp_runtime_sec,rounded_vs_ilp_ratio,greedy_vs_ilp_ratio,integrality_gap
bipartite,bipartite_6x6_p0.3_t1,,,0.3,2062.0,1.0,,,6.0,6.0,,12,8,0.12121212121212122,5.0,0.01565390103496611,0,0,True,5,True,1.0,8.624978363513947e-06,5,True,0.00018808909226208925,1.0,5.0,0.015929439920000732,1.0,1.0,1.0
bipartite,bipartite_6x6_p0.3_t0,,,0.3,2012.0,0.0,,,6.0,6.0,,12,10,0.15151515151515152,4.0,0.016023869975470006,0,0,True,4,True,1.0,5.40795736014843e-06,4,True,0.0001883429940789938,1.0,4.0,0.016044607968069613,1.0,1.0,1.0
bipartite,bipartite_8x8_p0.4_t0,,,0.4,2016.0,0.0,,,8.0,8.0,,16,29,0.24166666666666667,8.0,0.01823756005614996,0,0,True,8,True,1.0,7.088994607329369e-06,8,True,0.0002847659634426236,1.0,8.0,0.019351502996869385,1.0,1.0,1.0
bipartite,bipartite_8x8_p0.4_t1,,,0.4,2066.0,1.0,,,8.0,8.0,,16,30,0.25,8.0,0.01906791504006833,0,0,True,8,True,1.0,8.773058652877808e-06,8,True,0.000296904006972909,1.0,8.0,0.018970079021528363,1.0,1.0,1.0
bipartite,bipartite_10x12_p0.3_t1,,,0.3,2072.0,1.0,,,10.0,12.0,,22,29,0.12554112554112554,9.0,0.02948815410491079,0,0,True,9,True,1.0,1.0930001735687256e-05,9,True,0.00047975999768823385,1.0,9.0,0.02918689197394997,1.0,1.0,1.0
bipartite,bipartite_10x12_p0.3_t0,,,0.3,2022.0,0.0,,,10.0,12.0,,22,39,0.16883116883116883,10.0,0.016524570994079113,0,0,True,10,True,1.0,7.450929842889309e-06,10,True,0.00036094302777200937,1.0,10.0,0.02822948491666466,1.0,1.0,1.0
bipartite,bipartite_12x12_p0.5_t1,,,0.5,2074.0,1.0,,,12.0,12.0,,24,70,0.2536231884057971,12.0,0.03331295005045831,0,0,True,12,True,1.0,9.766081348061562e-06,13,True,0.0005215560086071491,1.0833333333333333,12.0,0.030587430926971138,1.0,1.0833333333333333,1.0
bipartite,bipartite_12x12_p0.5_t0,,,0.5,2024.0,0.0,,,12.0,12.0,,24,79,0.286231884057971,12.0,0.02907435700763017,0,0,True,12,True,1.0,8.244998753070831e-06,12,True,0.0034841279266402125,1.0,12.0,0.03550741297658533,1.0,1.0,1.0
complete,complete_n4,,4.0,,,,,,,,,4,6,1.0,2.0,0.015812458004802465,4,4,False,4,True,2.0,4.727044142782688e-06,3,True,0.00017807609401643276,1.5,3.0,0.019098330987617373,1.3333333333333333,1.0,1.5
complete,complete_n6,,6.0,,,,,,,,,6,15,1.0,3.0,0.016653926926665008,6,6,False,6,True,2.0,6.973976269364357e-06,5,True,0.00016354001127183437,1.6666666666666667,5.0,0.023013949976302683,1.2,1.0,1.6666666666666667
complete,complete_n8,,8.0,,,,,,,,,8,28,1.0,4.0,0.016266523976810277,8,8,False,8,True,2.0,9.96096059679985e-06,7,True,0.0002463830169290304,1.75,7.0,0.027035747072659433,1.1428571428571428,1.0,1.75
complete,complete_n10,,10.0,,,,,,,,,10,45,1.0,5.0,0.0204235470155254,10,10,False,10,True,2.0,1.0477029718458652e-05,9,True,0.00026616291143000126,1.8,9.0,0.031638770014978945,1.1111111111111112,1.0,1.8
complete,complete_n12,,12.0,,,,,,,,,12,66,1.0,6.0,0.021883427049033344,12,12,False,12,True,2.0,8.878065273165703e-06,11,True,0.00032746209762990475,1.8333333333333333,11.0,0.0463779519777745,1.0909090909090908,1.0,1.8333333333333333
complete,complete_n16,,16.0,,,,,,,,,16,120,1.0,8.0,0.019536748062819242,16,16,False,16,True,2.0,8.342089131474495e-06,15,True,0.00045504793524742126,1.875,15.0,0.08932469901628792,1.0666666666666667,1.0,1.875
complete,complete_n20,,20.0,,,,,,,,,20,190,1.0,10.0,0.02152525691781193,20,20,False,20,True,2.0,9.91998240351677e-06,19,True,0.000639628036879003,1.9,19.0,0.21247050107922405,1.0526315789473684,1.0,1.9
